"","Feedingtype","Predatorlifestage","Location","Regressionslope","Regressionintercept","R2","Fvalue","pvalue"
"1","insectivorous","adult","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"2","insectivorous","adult","Antarctic Peninsula","NA","NA","NA","NA","NA"
"3","insectivorous","adult","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"4","insectivorous","adult","Atlantic Ocean","NA","NA","NA","NA","NA"
"5","insectivorous","adult","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"6","insectivorous","adult","Catalan Sea","NA","NA","NA","NA","NA"
"7","insectivorous","adult","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"8","insectivorous","adult","Eastern Mediterranean","NA","NA","NA","NA","NA"
"9","insectivorous","adult","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"10","insectivorous","adult","French Polynesian EEZ","NA","NA","NA","NA","NA"
"11","insectivorous","adult","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"12","insectivorous","adult","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"13","insectivorous","adult","Greenland","NA","NA","NA","NA","NA"
"14","insectivorous","adult","Gulf of Alaska","NA","NA","NA","NA","NA"
"15","insectivorous","adult","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"16","insectivorous","adult","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"17","insectivorous","adult","Mid Atlantic","NA","NA","NA","NA","NA"
"18","insectivorous","adult","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"19","insectivorous","adult","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"20","insectivorous","adult","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"21","insectivorous","adult","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"22","insectivorous","adult","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"23","insectivorous","adult","Strait of Georgia","NA","NA","NA","NA","NA"
"24","insectivorous","adult","W Greenland","NA","NA","NA","NA","NA"
"25","insectivorous","adult","Western North Pacific","NA","NA","NA","NA","NA"
"26","insectivorous","juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"27","insectivorous","juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"28","insectivorous","juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"29","insectivorous","juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"30","insectivorous","juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"31","insectivorous","juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"32","insectivorous","juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"33","insectivorous","juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"34","insectivorous","juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"35","insectivorous","juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"36","insectivorous","juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"37","insectivorous","juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"38","insectivorous","juvenile","Greenland","NA","NA","NA","NA","NA"
"39","insectivorous","juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"40","insectivorous","juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"41","insectivorous","juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"42","insectivorous","juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"43","insectivorous","juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"44","insectivorous","juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"45","insectivorous","juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"46","insectivorous","juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"47","insectivorous","juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"48","insectivorous","juvenile","Strait of Georgia","NA","NA","NA","NA","NA"
"49","insectivorous","juvenile","W Greenland","NA","NA","NA","NA","NA"
"50","insectivorous","juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"51","insectivorous","larva","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"52","insectivorous","larva","Antarctic Peninsula","NA","NA","NA","NA","NA"
"53","insectivorous","larva","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"54","insectivorous","larva","Atlantic Ocean","NA","NA","NA","NA","NA"
"55","insectivorous","larva","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"56","insectivorous","larva","Catalan Sea","NA","NA","NA","NA","NA"
"57","insectivorous","larva","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"58","insectivorous","larva","Eastern Mediterranean","NA","NA","NA","NA","NA"
"59","insectivorous","larva","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"60","insectivorous","larva","French Polynesian EEZ","NA","NA","NA","NA","NA"
"61","insectivorous","larva","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"62","insectivorous","larva","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"63","insectivorous","larva","Greenland","NA","NA","NA","NA","NA"
"64","insectivorous","larva","Gulf of Alaska","NA","NA","NA","NA","NA"
"65","insectivorous","larva","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"66","insectivorous","larva","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"67","insectivorous","larva","Mid Atlantic","NA","NA","NA","NA","NA"
"68","insectivorous","larva","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"69","insectivorous","larva","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"70","insectivorous","larva","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"71","insectivorous","larva","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"72","insectivorous","larva","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"73","insectivorous","larva","Strait of Georgia","NA","NA","NA","NA","NA"
"74","insectivorous","larva","W Greenland","NA","NA","NA","NA","NA"
"75","insectivorous","larva","Western North Pacific","NA","NA","NA","NA","NA"
"76","insectivorous","larva / juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"77","insectivorous","larva / juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"78","insectivorous","larva / juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"79","insectivorous","larva / juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"80","insectivorous","larva / juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"81","insectivorous","larva / juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"82","insectivorous","larva / juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"83","insectivorous","larva / juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"84","insectivorous","larva / juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"85","insectivorous","larva / juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"86","insectivorous","larva / juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"87","insectivorous","larva / juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"88","insectivorous","larva / juvenile","Greenland","NA","NA","NA","NA","NA"
"89","insectivorous","larva / juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"90","insectivorous","larva / juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"91","insectivorous","larva / juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"92","insectivorous","larva / juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"93","insectivorous","larva / juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"94","insectivorous","larva / juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"95","insectivorous","larva / juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"96","insectivorous","larva / juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"97","insectivorous","larva / juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"98","insectivorous","larva / juvenile","Strait of Georgia","0.946030011005037","0.384249046154572","0.125577629410638","4.3083628793485","0.0465944025225441"
"99","insectivorous","larva / juvenile","W Greenland","NA","NA","NA","NA","NA"
"100","insectivorous","larva / juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"101","insectivorous","postlarva","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"102","insectivorous","postlarva","Antarctic Peninsula","NA","NA","NA","NA","NA"
"103","insectivorous","postlarva","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"104","insectivorous","postlarva","Atlantic Ocean","NA","NA","NA","NA","NA"
"105","insectivorous","postlarva","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"106","insectivorous","postlarva","Catalan Sea","NA","NA","NA","NA","NA"
"107","insectivorous","postlarva","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"108","insectivorous","postlarva","Eastern Mediterranean","NA","NA","NA","NA","NA"
"109","insectivorous","postlarva","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"110","insectivorous","postlarva","French Polynesian EEZ","NA","NA","NA","NA","NA"
"111","insectivorous","postlarva","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"112","insectivorous","postlarva","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"113","insectivorous","postlarva","Greenland","NA","NA","NA","NA","NA"
"114","insectivorous","postlarva","Gulf of Alaska","NA","NA","NA","NA","NA"
"115","insectivorous","postlarva","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"116","insectivorous","postlarva","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"117","insectivorous","postlarva","Mid Atlantic","NA","NA","NA","NA","NA"
"118","insectivorous","postlarva","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"119","insectivorous","postlarva","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"120","insectivorous","postlarva","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"121","insectivorous","postlarva","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"122","insectivorous","postlarva","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"123","insectivorous","postlarva","Strait of Georgia","NA","NA","NA","NA","NA"
"124","insectivorous","postlarva","W Greenland","NA","NA","NA","NA","NA"
"125","insectivorous","postlarva","Western North Pacific","NA","NA","NA","NA","NA"
"126","insectivorous","postlarva/juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"127","insectivorous","postlarva/juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"128","insectivorous","postlarva/juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"129","insectivorous","postlarva/juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"130","insectivorous","postlarva/juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"131","insectivorous","postlarva/juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"132","insectivorous","postlarva/juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"133","insectivorous","postlarva/juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"134","insectivorous","postlarva/juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"135","insectivorous","postlarva/juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"136","insectivorous","postlarva/juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"137","insectivorous","postlarva/juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"138","insectivorous","postlarva/juvenile","Greenland","NA","NA","NA","NA","NA"
"139","insectivorous","postlarva/juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"140","insectivorous","postlarva/juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"141","insectivorous","postlarva/juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"142","insectivorous","postlarva/juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"143","insectivorous","postlarva/juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"144","insectivorous","postlarva/juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"145","insectivorous","postlarva/juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"146","insectivorous","postlarva/juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"147","insectivorous","postlarva/juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"148","insectivorous","postlarva/juvenile","Strait of Georgia","NA","NA","NA","NA","NA"
"149","insectivorous","postlarva/juvenile","W Greenland","NA","NA","NA","NA","NA"
"150","insectivorous","postlarva/juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"151","piscivorous","adult","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"152","piscivorous","adult","Antarctic Peninsula","NA","NA","NA","NA","NA"
"153","piscivorous","adult","Apalachicola Bay, Florida","6.96676095437558","0.315601167257104","0.13840835729043","13.4939818773465","0.000420131370657502"
"154","piscivorous","adult","Atlantic Ocean","6.29080531131297","0.260141577182126","0.167648928394049","2213.9660580383","0"
"155","piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England","12.3638007966521","-0.00075571948748518","1.05682888325711e-05","0.000739788036573623","0.9783783713188"
"156","piscivorous","adult","Catalan Sea","NA","NA","NA","NA","NA"
"157","piscivorous","adult","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"158","piscivorous","adult","Eastern Mediterranean","2.84395790386421","0.652009130082474","0.621375968997542","205.142805962542","3.90742334690279e-28"
"159","piscivorous","adult","Europe, Celtic Sea ecosystem","5.1972808252112","0.446320367632756","0.360856572626597","1179.43695879791","2.57239252512457e-205"
"160","piscivorous","adult","French Polynesian EEZ","9.80728447063054","-0.00344440892783732","0.000137077297159918","0.257603552962265","0.611830912872727"
"161","piscivorous","adult","Great Channel South, Gulf of Maine, New England","10.77512339479","0.275645033772453","0.236407118878563","224.458825408693","2.09079088296548e-44"
"162","piscivorous","adult","Great South Bay, Long Island, New York","3.04781706869486","0.381984962733834","0.268430572529679","108.242657392169","8.43412441946392e-22"
"163","piscivorous","adult","Greenland","NA","NA","NA","NA","NA"
"164","piscivorous","adult","Gulf of Alaska","NA","NA","NA","NA","NA"
"165","piscivorous","adult","Gulf of Maine, New England","12.140634178118","0.0637787507225829","0.0036989019587081","0.293298135786887","0.589638854188326"
"166","piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England","11.3795272341053","0.107808454068971","0.0955172500566953","40.8688565638849","4.69052308104256e-10"
"167","piscivorous","adult","Mid Atlantic","4.15309731870386","0.102300793203792","0.0484716094614918","3.71867778814919","0.0576960215780974"
"168","piscivorous","adult","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"169","piscivorous","adult","Off the Bay of Biscay","10.6433842999675","0.192985490250415","0.142626808084678","59.2217533239131","1.39971967104614e-13"
"170","piscivorous","adult","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"171","piscivorous","adult","South of Marthas Vineyard, New England","9.90592950591141","0.486799091516026","0.136288598876772","2.20911797828935","0.159367429953626"
"172","piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England","11.7923413214185","0.108492499541345","0.0385393345397022","20.2024121275006","8.65041891346358e-06"
"173","piscivorous","adult","Strait of Georgia","NA","NA","NA","NA","NA"
"174","piscivorous","adult","W Greenland","NA","NA","NA","NA","NA"
"175","piscivorous","adult","Western North Pacific","NA","NA","NA","NA","NA"
"176","piscivorous","juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"177","piscivorous","juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"178","piscivorous","juvenile","Apalachicola Bay, Florida","7.61765814929771","0.255431068910441","0.0622128331867773","1.7911809368762","0.191944478653282"
"179","piscivorous","juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"180","piscivorous","juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"181","piscivorous","juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"182","piscivorous","juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"183","piscivorous","juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"184","piscivorous","juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"185","piscivorous","juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"186","piscivorous","juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"187","piscivorous","juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"188","piscivorous","juvenile","Greenland","NA","NA","NA","NA","NA"
"189","piscivorous","juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"190","piscivorous","juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"191","piscivorous","juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"192","piscivorous","juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"193","piscivorous","juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"194","piscivorous","juvenile","Off the Bay of Biscay","8.62335338724499","3.02617565393957e-14","0.499986237162604","2976.83611664329","6.58962714844975e-06"
"195","piscivorous","juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"196","piscivorous","juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"197","piscivorous","juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"198","piscivorous","juvenile","Strait of Georgia","NA","NA","NA","NA","NA"
"199","piscivorous","juvenile","W Greenland","1.27848314402828","0.709121551017255","0.620397726006059","31.0523872001443","2.25023100017498e-05"
"200","piscivorous","juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"201","piscivorous","larva","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"202","piscivorous","larva","Antarctic Peninsula","NA","NA","NA","NA","NA"
"203","piscivorous","larva","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"204","piscivorous","larva","Atlantic Ocean","NA","NA","NA","NA","NA"
"205","piscivorous","larva","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"206","piscivorous","larva","Catalan Sea","NA","NA","NA","NA","NA"
"207","piscivorous","larva","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"208","piscivorous","larva","Eastern Mediterranean","NA","NA","NA","NA","NA"
"209","piscivorous","larva","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"210","piscivorous","larva","French Polynesian EEZ","NA","NA","NA","NA","NA"
"211","piscivorous","larva","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"212","piscivorous","larva","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"213","piscivorous","larva","Greenland","NA","NA","NA","NA","NA"
"214","piscivorous","larva","Gulf of Alaska","NA","NA","NA","NA","NA"
"215","piscivorous","larva","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"216","piscivorous","larva","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"217","piscivorous","larva","Mid Atlantic","NA","NA","NA","NA","NA"
"218","piscivorous","larva","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"219","piscivorous","larva","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"220","piscivorous","larva","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"221","piscivorous","larva","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"222","piscivorous","larva","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"223","piscivorous","larva","Strait of Georgia","NA","NA","NA","NA","NA"
"224","piscivorous","larva","W Greenland","NA","NA","NA","NA","NA"
"225","piscivorous","larva","Western North Pacific","NA","NA","NA","NA","NA"
"226","piscivorous","larva / juvenile","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"227","piscivorous","larva / juvenile","Antarctic Peninsula","NA","NA","NA","NA","NA"
"228","piscivorous","larva / juvenile","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"229","piscivorous","larva / juvenile","Atlantic Ocean","NA","NA","NA","NA","NA"
"230","piscivorous","larva / juvenile","Cape Cod Bay, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"231","piscivorous","larva / juvenile","Catalan Sea","NA","NA","NA","NA","NA"
"232","piscivorous","larva / juvenile","Crooked Island Sound, Florida","NA","NA","NA","NA","NA"
"233","piscivorous","larva / juvenile","Eastern Mediterranean","NA","NA","NA","NA","NA"
"234","piscivorous","larva / juvenile","Europe, Celtic Sea ecosystem","NA","NA","NA","NA","NA"
"235","piscivorous","larva / juvenile","French Polynesian EEZ","NA","NA","NA","NA","NA"
"236","piscivorous","larva / juvenile","Great Channel South, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"237","piscivorous","larva / juvenile","Great South Bay, Long Island, New York","NA","NA","NA","NA","NA"
"238","piscivorous","larva / juvenile","Greenland","NA","NA","NA","NA","NA"
"239","piscivorous","larva / juvenile","Gulf of Alaska","NA","NA","NA","NA","NA"
"240","piscivorous","larva / juvenile","Gulf of Maine, New England","NA","NA","NA","NA","NA"
"241","piscivorous","larva / juvenile","Jeffreys Ledge, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"242","piscivorous","larva / juvenile","Mid Atlantic","NA","NA","NA","NA","NA"
"243","piscivorous","larva / juvenile","NE North Sea and Skaggerak","NA","NA","NA","NA","NA"
"244","piscivorous","larva / juvenile","Off the Bay of Biscay","NA","NA","NA","NA","NA"
"245","piscivorous","larva / juvenile","Oxwich Bay, Wales","NA","NA","NA","NA","NA"
"246","piscivorous","larva / juvenile","South of Marthas Vineyard, New England","NA","NA","NA","NA","NA"
"247","piscivorous","larva / juvenile","Stellwagen Bank, Gulf of Maine, New England","NA","NA","NA","NA","NA"
"248","piscivorous","larva / juvenile","Strait of Georgia","4.96732009411791","0.652630804441673","0.502262057547569","9.08180416316188","0.0146301686798566"
"249","piscivorous","larva / juvenile","W Greenland","NA","NA","NA","NA","NA"
"250","piscivorous","larva / juvenile","Western North Pacific","NA","NA","NA","NA","NA"
"251","piscivorous","postlarva","Andaman Sea (West of South Thailand)","NA","NA","NA","NA","NA"
"252","piscivorous","postlarva","Antarctic Peninsula","-2.52746573405741","0.106773528674382","0.0389698693052271","1.25705314524184","0.270820006991041"
"253","piscivorous","postlarva","Apalachicola Bay, Florida","NA","NA","NA","NA","NA"
"254","piscivorous","postlarva","Atlantic Ocean","NA","NA","NA","NA","NA"
